Change Component DesignItemId : Designator=P2 Old DesignItemId=CMP-1502-01080-4 New DesignItemId=CMP-1502-01080-3
Change Component Description : Designator=P2 Old Description=THT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Single Row, 9 pins New Description=
Change Component Library : Designator=D1 Old Library=TDR.IntLib New Library=*
Change Component Library : Designator=D2 Old Library=TDR.IntLib New Library=*
Change Component Library : Designator=D3 Old Library=TDR.IntLib New Library=*
Change Component Library : Designator=D4 Old Library=TDR.IntLib New Library=*
Change Component Library : Designator=IC1 Old Library=TDR.IntLib New Library=*
Change Managed Component Library Link : Designator=P2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=AAB1E598-F80B-480B-B028-C26FB758011A New ItemGUID=AAB1E598-F80B-480B-B028-C26FB758011A Old RevisionGUID=8ECA095F-642F-42A9-A762-A398C2B99907 New RevisionGUID=575354FD-36A6-4257-A4C2-4662FB50E18B
Change component parameters: Designator = "P2" ("P2"); Footprint = "61300911121"; UniqueID = "\ICVRNCGT" ("\ICVRNCGT")
Change component parameters (AddParameter): Name = "Color"; Value = "Black"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Copper"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Mating Length"; Value = "5.9944mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Resistance"; Value = "20m?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "3A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NexarPartId"; Value = "32855536"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "9"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "9"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "9"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Supply Voltage"; Value = "250V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
Added Component: Designator=C1(CAP_C0805X-HAC-DR_KEM-M)
Add component (AddParameter): Name = "CPAR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LSER"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RLSHUNT"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RPAR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RSER"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SimulationGenericComponent"; Value = "True"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TEMP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "4.7uF"; VariantName = "[No Variations]"
Added Component: Designator=C2(CAP_C0805X-HAC-DR_KEM-M)
Add component (AddParameter): Name = "CPAR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LSER"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RLSHUNT"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RPAR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RSER"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SimulationGenericComponent"; Value = "True"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TEMP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10uF"; VariantName = "[No Variations]"
Added Component: Designator=C6(CAP_C0805X-HAC-DR_KEM-M)
Add component (AddParameter): Name = "CPAR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LSER"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RLSHUNT"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RPAR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RSER"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SimulationGenericComponent"; Value = "True"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TEMP"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "DNM"; VariantName = "[No Variations]"
Added Component: Designator=C20(CAP_C0805X-HAC-DR_KEM-M)
Add component (AddParameter): Name = "CPAR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LSER"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RLSHUNT"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RPAR"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RSER"; Value = ""; VariantName = "[No Variations]"
